"PO #","Kit Number","Shipping Warehouse","Vendor","Qty. Delivered","Total Wholesale Price","Total Unit Price","Vat tax","Status","Amount Invoiced",
"PO-2537","17313","Mahadevpura Inventory Warehouse","Old Stock","2","180","220","0","Received","180",
"PO-2538","17388","Mahadevpura Inventory Warehouse","Old Stock","2","180","220","0","Received","180",
"PO-2540","17388","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2541","16858","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2542","null","Mahadevpura Inventory Warehouse","Old Stock","300","17500","31000","0","Received","17500",
"PO-2543","17258","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","3","390","436","0","Received","390",
"PO-2544","17258","HSR Inventory Warehouse","Old Stock","1","59","82","0","Received","59",
"PO-2545","17395","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","195","215","0","Received","195",
"PO-2546","17395","HSR Inventory Warehouse","Old Stock","1","125","145","0","Received","125",
"PO-2547","17181","Mahadevpura Inventory Warehouse","Old Stock","2","259","297","0","Received","259",
"PO-2548","17311","HSR Inventory Warehouse","Old Stock","1","67","98","0","Received","67",
"PO-2549","17366","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","490","589","0","Received","490",
"PO-2550","17365","Mahadevpura Inventory Warehouse","Old Stock","0","0","0","0","Open","0",
"PO-2551","17430","Hyderabad Inventory Warehouse","Royal AutoMobile","3","284","321","0","Received","284",
"PO-2552","17286","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","60","82","0","Received","60",
"PO-2553","17431","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","50","58","0","Received","50",
"PO-2554","17367","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","170","189","0","Received","170",
"PO-2555","17237","Mahadevpura Inventory Warehouse","Old Stock","4","459","546","0","Received","459",
"PO-2556","17323","HSR Inventory Warehouse","Old Stock","1","59","82","0","Received","59",
"PO-2557","17391","Mahadevpura Inventory Warehouse","Old Stock","2","274","317","0","Received","274",
"PO-2558","17122","Mahadevpura Inventory Warehouse","Local","1","45","50","0","Received","45",
"PO-2559","17392","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","30","35","0","Received","30",
"PO-2560","17313","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","1550","1851","0","Received","1550",
"PO-2561","17409","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","3","375","556","0","Received","375",
"PO-2562","17329","Mahadevpura Inventory Warehouse","Old Stock","2","179","227","0","Received","179",
"PO-2563","17340","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","3","395","436","0","Received","395",
"PO-2564","17387","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","1450","1892","0","Received","1450",
"PO-2565","17372","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2566","17361","Mahadevpura Inventory Warehouse","Old Stock","2","99","117","0","Received","99",
"PO-2567","17387","HSR Inventory Warehouse","Dummy","1","60","60","0","Received","60",
"PO-2568","17390","HSR Inventory Warehouse","Old Stock","3","369","459","0","Received","369",
"PO-2569","17384","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2570","17107","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2571","17223","HSR Inventory Warehouse","Dummy","1","50","50","0","Received","50",
"PO-2572","17374","Mahadevpura Inventory Warehouse","Old Stock","2","179","214","0","Received","179",
"PO-2573","17240","Mahadevpura Inventory Warehouse","Old Stock","2","99","117","0","Received","99",
"PO-2574","17413","HSR Inventory Warehouse","Old Stock","2","101","145","0","Received","101",
"PO-2575","17284","Mahadevpura Inventory Warehouse","Local","1","30","68","0","Received","30",
"PO-2576","17434","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","5","250","315","0","Received","250",
"PO-2577","17434","Mahadevpura Inventory Warehouse","Old Stock","3","270","321","0","Received","270",
"PO-2578","17422","HSR Inventory Warehouse","Old Stock","2","310","360","0","Received","310",
"PO-2579","17382","Mahadevpura Inventory Warehouse","Bajaji","1","69","82","0","Received","69",
"PO-2580","17421","HSR Inventory Warehouse","Old Stock","1","63","98","0","Received","63",
"PO-2581","17290","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","140","168","0","Received","140",
"PO-2582","17393","Mahadevpura Inventory Warehouse","Old Stock","3","240","321","0","Received","240",
"PO-2583","17378","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","3","250","336","0","Received","250",
"PO-2585","17427","Mahadevpura Inventory Warehouse","Old Stock","1","170","199","0","Received","170",
"PO-2586","17427","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2587","17416","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2588","17392","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","360","401","0","Received","360",
